Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,Female,94,2,Sales Executive,4,Single,19479,8,Yes,11,2,8,0,1,6,4,0,5
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,Female,56,1,Research Scientist,3,Married,23159,1,Yes,11,2,8,3,3,8,7,3,0
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,1,Laboratory Technician,3,Single,2396,6,Yes,15,3,7,3,3,0,0,0,0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,Male,93,1,Laboratory Technician,4,Divorced,8758,0,No,11,2,3,2,3,2,2,1,2
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,Female,51,3,Manufacturing Director,1,Divorced,10195,1,No,11,2,10,1,3,10,9,8,8
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,Male,45,1,Research Scientist,4,Single,4306,5,Yes,11,2,6,3,3,3,2,1,2
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,Female,53,3,Research Director,2,Single,21293,0,No,11,2,13,4,3,12,6,2,11
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,31,Male,83,1,Research Scientist,1,Single,17102,2,No,11,2,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,32,Female,58,5,Manager,3,Divorced,10735,4,No,11,2,26,3,2,14,13,4,8
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,Male,48,2,Sales Executive,2,Married,21173,0,No,11,2,10,2,3,9,7,4,2
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,39,Male,78,1,Laboratory Technician,4,Single,6670,4,No,11,2,7,3,3,1,1,0,0
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,Female,50,2,Laboratory Technician,4,Single,5456,1,No,11,2,10,2,3,10,3,9,9
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,Female,99,3,Sales Executive,1,Single,2354,7,No,11,2,28,3,2,21,16,7,9
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,Female,57,2,Sales Executive,3,Single,24668,7,No,11,2,20,2,2,4,3,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,Male,49,3,Manufacturing Director,4,Single,21698,4,No,11,2,37,3,2,6,4,0,2
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,142,Male,46,2,Sales Executive,3,Single,26959,1,Yes,11,2,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,143,Male,64,1,Research Scientist,4,Married,26897,1,No,11,2,2,2,3,2,2,2,1
50,No,Travel_Frequently,809,Sales,12,3,Marketing,174,Female,77,3,Sales Executive,4,Single,6645,4,No,11,2,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,175,Female,71,2,Sales Executive,3,Married,24788,3,Yes,11,2,4,2,3,2,2,2,2
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,202,Female,54,2,Research Scientist,2,Divorced,8504,1,No,11,2,20,2,3,20,7,2,13
40,No,Travel_Rarely,630,Sales,4,4,Marketing,215,Male,67,3,Sales Executive,4,Married,8552,7,No,11,2,15,2,2,12,11,2,11
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,221,Male,42,1,Research Scientist,4,Married,6672,1,No,11,2,5,2,1,5,2,0,2
30,No,Non-Travel,111,Research & Development,9,3,Medical,239,Male,66,2,Laboratory Technician,1,Divorced,11012,1,No,11,2,12,4,3,12,9,6,10
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,Male,96,1,Research Scientist,4,Single,19281,1,No,14,3,0,6,3,0,0,0,0
45,No,Travel_Rarely,1268,Sales,4,2,Life Sciences,240,Female,30,2,Sales Executive,1,Divorced,6319,4,Yes,11,2,9,3,4,5,4,0,3
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,250,Female,57,2,Manufacturing Director,1,Divorced,26250,1,No,11,2,5,3,3,4,2,1,3
55,No,Travel_Rarely,692,Research & Development,14,4,Medical,254,Male,61,5,Research Director,2,Single,13339,8,No,11,2,36,3,3,24,15,2,15
35,No,Travel_Frequently,138,Research & Development,2,3,Medical,269,Female,37,2,Laboratory Technician,2,Single,15986,5,No,11,2,10,5,3,6,2,1,2
32,Yes,Travel_Rarely,1045,Sales,4,4,Medical,291,Male,32,3,Sales Executive,4,Married,25812,1,No,11,2,14,2,2,14,8,9,8
30,Yes,Travel_Rarely,1005,Research & Development,3,3,Technical Degree,297,Female,88,1,Research Scientist,1,Single,8556,5,Yes,11,2,8,5,3,5,2,0,4
42,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,319,Male,58,5,Manager,4,Married,4933,1,No,11,2,22,3,3,22,17,11,15
50,No,Travel_Rarely,854,Sales,1,4,Medical,323,Female,68,5,Manager,4,Divorced,24118,3,No,11,2,32,3,2,7,0,0,6
